date,evenement,startDate,endDate
20 décembre 1295,"Marguerite de Provence, veuve du roi saint Louis, meurt à l'âge de 74 ans.",1295.0,1295.0
1296,Philippe le Bel constitue une Chambre es-requêtes au Parlement.,1296.0,1296.0
20 décembre 1296,Crue extraordinaire : le Petit Châtelet et les deux ponts avec leurs maisons sont brisés.,1296.0,1296.0
20-28 déc. 1296,L'île de la Cité n'est ravitaillée que par bateaux.,1296.0,1296.0
28 avril 1297,La reconstruction du Petit-Pont est achevée.,1297.0,1297.0
10 juin 1297,Le roi nomme sept conseillers pour gérer les affaires d'État à Paris en son absence.,1297.0,1297.0
Novembre 1297,"Achèvement de la passerelle en bois, dite pont aux Meuniers.",1297.0,1297.0
1298,Début des travaux de reconstruction du palais de la Cité et de son enceinte.,1298.0,1298.0
Février 1298,Deux Parisiens sont exclus de la Hanse pour avoir fraudé sur le transport des vins.,1298.0,1298.0
11 septembre 1298,"Inhumation de Philippe, fils de Robert III d'Artois, aux Jacobins, rue Saint-Jacques.",1298.0,1298.0
Mars 1299,Le roi donne aux frères de la Charité-N-Dame la chapelle du miracle rue des Jardins.,1299.0,1299.0
Février 1301,Confiscation de 68 tonneaux à un marchand de vins pour non-déclaration à la Hanse.,1301.0,1301.0
23 mars 1301,Une ordonnance du roi entérine l'existence des notaires du Châtelet.,1301.0,1301.0
10 avril 1302,"Réunion des États généraux à Notre-Dame de Paris, au sujet de l'autorité du pape.",1302.0,1302.0
Mai 1302,Fondation du collège du Cardinal Lemoine.,1302.0,1302.0
Mars 1303,Philippe le Bel rend officiellement le Parlement sédentaire.,1303.0,1303.0
Début avril 1303,Des ambassadeurs tartares proposent une union contre les Sarrasins en Terre sainte.,1303.0,1303.0
13 et 14 juin 1303,"Conseil élargi au Louvre pour dénoncer ""les crimes"" du pape Boniface VIII.",1303.0,1303.0
24 juin 1303,"Au jardin du Palais, le roi fait lire un appel à la réunion d'un concile au sujet du pape.",1303.0,1303.0
Juillet 1303,Retour du Trésor au Temple.,1303.0,1303.0
2 février 1304,"Mort de Béatrice, fille de Gui de Flandre.",1304.0,1304.0
22 juin 1304,"Mort de Simon Matifas de Bucy, évêque de Paris.",1304.0,1304.0
Septembre 1304,L'Université se met en grève suite à l'exécution d'un étudiant par le prévôt.,1304.0,1304.0
18 septembre 1304,"Guillaume Baufet, dit Guillaume d'Aurillac, médecin du roi, est élu évêque de Paris.",1304.0,1304.0
Début nov. 1304,"Fin de la grève de l'Université, le prévôt ayant fait réparation.",1304.0,1304.0
Fin décembre 1034,Le théologien écossais Duns Scot vient enseigner à Paris.,1034.0,1034.0
Début janvier 1305,Le roi tient une assemblée au Parlement au sujet de la paix avec les Flamands.,1305.0,1305.0
Début 1305,Achèvement du nouveau Grand-Pont.,1305.0,1305.0
17 janvier 1305,Guillaume Baufet est consacré évêque de Paris.,1305.0,1305.0
Février 1305,Les changeurs occuperont le Grand-Pont côté Châtelet et les orfèvres l'autre côté.,1305.0,1305.0
25 mars 1305,Fondation du collège royal de Navarre par la reine Jeanne de Navarre.,1305.0,1305.0
Avril 1305,Le prix des céréales et le prix du pain augmentent considérablement.,1305.0,1305.0
Mai 1305,Joutes entre villes organisées place de Grève par le bourgeois Reinier le Flament.,1305.0,1305.0
29 novembre 1305,"Symon Pacquet, mercier, est expulsé de la Hanse pour ""compagnie"" non déclarée.",1305.0,1305.0
Hiver 1305-1306,"Débâcle de glace et crue : les ponts sont endommagés, des moulins sont détruits.",1305.0,1306.0
13 mai 1306,Le roi apporte les reliques de saint Louis à Notre-Dame puis à la Sainte-Chapelle.,1306.0,1306.0
22 juillet 1306,Philippe le Bel fait expulser les Juifs du royaume et saisir leurs biens.,1306.0,1306.0
4 octobre 1306,Colère des locataires qui doivent payer leur loyer avec la nouvelle monnaie forte.,1306.0,1306.0
30 décembre 1306,"La foule, mécontente de la hausse des loyers, pille et brûle l'hôtel d'Étienne Barbette.",1306.0,1306.0
30 décembre 1306,Les émeutiers se rendent au Temple où se trouve le roi et en bloquent les issues.,1306.0,1306.0
31 décembre 1306,Les meneurs des émeutes de la veille sont arrêtés. Vingt-huit sont condamnés à mort.,1306.0,1306.0
5 janvier 1307,Les condamnés du 31 décembre sont pendus aux arbres proches des portes de la ville.,1307.0,1307.0
14 septembre 1307,Le Conseil décide secrètement l'arrestation des templiers du royaume.,1307.0,1307.0
22 septembre 1307,Guillaume de Nogaret est nommé Garde du sceau.,1307.0,1307.0
12 octobre 1307,"Aux Jacobins, inhumation de Catherine, seconde femme de Charles de Valois.",1307.0,1307.0
13 octobre 1307,"Arrestation des templiers du royaume, dont Jacques de Molay présent à Paris.",1307.0,1307.0
14 octobre 1307,Harangue de Nogaret destinée aux chanoines et aux maîtres de la faculté de théologie.,1307.0,1307.0
15 octobre 1307,"Dans les jardins du palais, des orateurs expliquent au peuple l'arrestation des templiers",1307.0,1307.0
19 octobre 1307,Début des interrogatoires des templiers à Paris par l'inquisiteur Guillaume de Paris.,1307.0,1307.0
24 octobre 1307,Interrogatoire de Jacques de Molay au Temple.,1307.0,1307.0
25 octobre 1307,"Devant plusieurs théologiens de l'université, Jacques de Molay renouvelle ses aveux.",1307.0,1307.0
24 novembre 1307,Fin des interrogatoires des templiers par l'inquisiteur de France.,1307.0,1307.0
Décembre 1307,"Le roi donne à son charretier, Jean de Provins, la synagogue de la rue de la Tacherie.",1307.0,1307.0
27 décembre 1307,"A Notre-Dame, plusieurs templiers rétractent leurs aveux devant les envoyés du pape.",1307.0,1307.0
19 mai 1308,"Fondation du collège de Bayeux, rue de la Harpe.",1308.0,1308.0
25 mai 1308,"Terrible orage avec grêle, neige et vent.",1308.0,1308.0
15 août 1308,L'évêque Guichard de Troyes est arrêté et transféré au Louvre.,1308.0,1308.0
6 octobre 1308,Début du procès public de Guichard de Troyes dans les jardins du Palais.,1308.0,1308.0
27 novembre 1308,Amaury de Nesle vend au roi son hôtel pour 5 000 livres.,1308.0,1308.0
Début février 1309,"Mort de Marguerite de Clermont, femme de Jean de Namur.",1309.0,1309.0
20 mars 1309,"Les réquisitions pour ""droit de prise"" sont désormais réglementées.",1309.0,1309.0
Avril 1309,"Fondation du nouveau monastère des Carmes, place Maubert.",1309.0,1309.0
8 août 1309,Début de l'enquête de la commission pontificale de Paris au sujet des templiers.,1309.0,1309.0
30 octobre 1309,Violente tempête sur la région parisienne.,1309.0,1309.0
26 et 28 nov. 1309,"Interrogatoire de Jacques de Molay, grand-maître de l'ordre des templiers.",1309.0,1309.0
Mars 1310,589 templiers sont transférés à Paris.,1310.0,1310.0
11-23 avril 1310,"Conseil des évêques de la province de Sens, relatif aux crimes des templiers.",1310.0,1310.0
12 mai 1310,54 templiers relaps sont brûlés près du moulin Saint-Antoine.,1310.0,1310.0
1er juin 1310,"La béguine Marguerite Porète, hérétique, et un juif converti relaps, sont brûlés vifs.",1310.0,1310.0
5 juin 1311,Fin des interrogatoires de la commission pontificale de Paris.,1311.0,1311.0
Août 1311,"Le roi remet aux religieuses de Poissy le cimetière juif, rue de la Harpe, pour 1000 l. t.",1311.0,1311.0
Septembre 1311,Pierre Marcel cède au roi sa maison pour que celui-ci puisse agrandir son palais.,1311.0,1311.0
9 septembre 1311,"Fondation du collège d'Harcourt, rue Saint-Cosme, proche de la porte d'Enfer.",1311.0,1311.0
Fin mars 1312,Les biens des templiers sont repris par les frères hospitaliers de St-Jean-de-Jérusalem.,1312.0,1312.0
22 juin 1312,"L'évêque de Paris, Guillaume Baufet, ratifie la fondation du collège d'Harcourt.",1312.0,1312.0
18 octobre 1312,"Mort de Betin Cassinel, immigré lombard, maître des monnaies à Paris.",1312.0,1312.0
Début 1313,"Levée d'une taille pour la chevalerie de Louis, fils de Philippe le Bel.",1313.0,1313.0
23 mai 1313,Le roi ordonne au prévôt des marchands de construire un quai devant l'hôtel de Nesle.,1313.0,1313.0
Pentecôte 1313,Fêtes pour l'inauguration du palais rénové et pour la chevalerie de Louis de Navarre.,1313.0,1313.0
Janvier 1314,Le roi confirme la fondation du collège de Laon-Presles situé rue du Clos-Bruneau.,1314.0,1314.0
19 janvier 1314,Une ordonnance royale confirme la mainmise d'Enguerrand de Marigny sur le Trésor.,1314.0,1314.0
18 mars 1314,"Sur le parvis Notre-Dame, J. de Molay et trois autres templiers renient leurs aveux.",1314.0,1314.0
Soir du18 mars 1314,"Jacques de Molay et Geoffroy de Charney, relaps, sont brûlés sur l'Ile aux Juifs.",1314.0,1314.0
9 avril 1314,"Marguerite, Blanche et Jeanne de Navarre sont arrêtées et accusées d'adultère.",1314.0,1314.0
1er août 1314,Le prévôt Etienne Barbette et les bourgeois acceptent un effort financier pour le roi.,1314.0,1314.0
Août 1314,Nobles et bourgeois sont exaspérés par la taxe de 10 deniers par livre sur toute vente.,1314.0,1314.0
29 novembre 1314,On apprend la mort de Philippe le Bel. Louis X [le Hutin] devient roi de France.,1314.0,1314.0
1er décembre 1314,Le corps de Philippe le Bel est ramené à Paris par la Seine et déposé aux Bernardins.,1314.0,1314.0
2 décembre 1314,Obsèques de Philippe le Bel à Notre-Dame.,1314.0,1314.0
13 décembre 1314,Fondation du collège de Montaigu.,1314.0,1314.0
10 mars 1315,Le roi fait arrêter Enguerrand de Marigny. Il est mis en prison dans la tour du Louvre.,1315.0,1315.0
30 avril 1315,"Enguerrand de Marigny, conseiller du roi, est pendu à Montfaucon pour prévarication.",1315.0,1315.0
Avril-juillet 1315,Pluies quasi-continuelles : la Seine sort de son lit.,1315.0,1315.0
Juillet 1315,"Nombreuses processions entre Paris et Saint-Denis, pour faire cesser la pluie.",1315.0,1315.0
28 juillet 1315,Les Juifs sont autorisés à revenir s'installer à Paris.,1315.0,1315.0
Hiver 1315-1316,Les ponts de Paris sont brisés par la débâcle.,1315.0,1316.0
Printemps 1316,La faiblesse des récoltes fait flamber le cours des céréales.,1316.0,1316.0
8 juin 1316,"Le corps du roi Louis X, mort au château de Vincennes le matin même, arrive à Paris.",1316.0,1316.0
12-16 juillet 1316,"Philippe, comte de Poitiers, vient s'imposer comme régent de Jeanne, fille de Louis X",1316.0,1316.0
17 juillet 1316,Philippe réunit une assemblée de la noblesse pour régler les questions de succession.,1316.0,1316.0
Août 1316,Paris apprend l'élection du nouveau pape Jean XXII [Jacques Duèze].,1316.0,1316.0
Novembre 1316,Robert d'Artois est emprisonné au Châtelet puis à Saint-Germain-des-Prés.,1316.0,1316.0
15 novembre 1316,"Naissance de Jean, fils du roi défunt Louis X.",1316.0,1316.0
19 novembre 1316,"Jean 1er, héritier de la couronne, meurt âgé de 5 jours.",1316.0,1316.0
3 décembre 1316,Une  ordonnance réglemente sévèrement le déroulement des séances du Parlement.,1316.0,1316.0
1317,Galéran Nicolaï de Grève fonde un collège pour les écoliers de Cornouailles.,1317.0,1317.0
Début janvier 1317,Philippe de Poitiers part à Reims pour son sacre et son couronnement.,1317.0,1317.0
2-3 février 1317,Philippe réunit une assemblée de nobles et de prélats pour légitimer son sacre.,1317.0,1317.0
16 février 1317,"Mort de Louis, fils unique du roi Philippe. Il est enterré aux Jacobins.",1317.0,1317.0
25 mars 1317,Le roi Philippe V [le Long] fait sortir Robert d'Artois de sa prison.,1317.0,1317.0
Avril 1317,Le roi rassemble les États de la nation pour voter un impôt qui financera la croisade.,1317.0,1317.0
Juin 1317,Le squelette d'Enguerrand de Marigny est dépendu du gibet.,1317.0,1317.0
Fin septembre 1317,"On annonce la mort de Robert, fils d'Othon de Bourgogne et de Mahaut d'Artois.",1317.0,1317.0
Janvier 1318,Le grand Conseil prononce l'affranchissement des serfs du domaine royal.,1318.0,1318.0
Février 1318,Le Conseil royal innocente Guillaume d'Harcourt en appel et déboute le Parlement.,1318.0,1318.0
Mars 1318,Bénédiction du nouveau monastère des Carmes.,1318.0,1318.0
27 mars 1318,"Signature d'un traité entre le roi, le duc de Bourgogne et sa mère Agnès.",1318.0,1318.0
1319,Philippe le Long fait don de l'hôtel de Nesle à sa femme Jeanne de Bourgogne.,1319.0,1319.0
18 février 1319,La reine Jeanne pose la première pierre de l'hôpital Saint-Jacques-aux-Pèlerins.,1319.0,1319.0
23 mars 1319,"A Longchamp, début d'une conférence relative aux querelles d'Artois.",1319.0,1319.0
Mai 1319,La veuve d'Enguerrand de Marigny est blanchie par le Conseil royal.,1319.0,1319.0
22 mai 1319,"Inhumation de Louis, comte d'Évreux, dans l'église des Frères Prêcheurs.",1319.0,1319.0
31 mai 1319,"Le cardinal Gaucelin, venu de Rome, et le roi négocient une paix avec les Flamands.",1319.0,1319.0
8 juillet 1319,Fondation de la chantrerie de la Sainte-Chapelle.,1319.0,1319.0
30 décembre 1319,"Mort de Guillaume Baufet, évêque de Paris.",1319.0,1319.0
Janvier 1320,Une ordonnance royale réforme le fonctionnement de la Chambre des comptes.,1320.0,1320.0
3 janvier 1320,Le roi et le Grand Conseil en réunion approuvent le traité de paix avec les Flamands.,1320.0,1320.0
Avril 1320,Philippe le Long autorise les pelletiers et les meuniers à rétablir leur confrérie.,1320.0,1320.0
3 mai 1320,Les Pastoureaux arrivent par centaines et entraînent la foule dans leur mouvement.,1320.0,1320.0
5 mai 1320,Robert de Béthune vient au palais royal et jure d'appliquer les conventions de paix.,1320.0,1320.0
24 juillet 1320,Joutes bourgeoises dans l'Ile aux Juifs à l'occasion du mariage de la fille du roi.,1320.0,1320.0
25 juillet 1320,Le prévôt Henri de Taperel est pendu pour avoir fait exécuter un innocent.,1320.0,1320.0
8 septembre 1320,Etienne de Bouret est évêque de Paris.,1320.0,1320.0
Janvier 1321,Le roi autorise les oubliers à rétablir leur confrérie en l'honneur de saint Michel.,1321.0,1321.0
Mai 1321,Le Conseil royal innocente Jean Lointier accusé de vols par Bertrand de Corbie.,1321.0,1321.0
Automne 1321,"Ostension des Saintes Reliques, de Saint-Denis à Longchamp, pour la guérison du roi.",1321.0,1321.0
Début décembre 1321,"Fondation du collège de Cornouailles, rue des Plâtriers.",1321.0,1321.0
19 décembre 1321,"Mort d'Etienne Barbette, voyer de Paris puis prévôt des marchands.",1321.0,1321.0
3 janvier 1322,Philippe V meurt à Longchamp à l'âge de 28 ans. Son frère Charles [IV] lui succède.,1322.0,1322.0
7-8 janvier 1322,"Le corps du roi est porté à Notre-Dame, puis à Saint-Denis.",1322.0,1322.0
Fin janvier 1322,"Inhumation aux Cordeliers de Marie, veuve de Philippe III. Son cour va aux Jacobins.",1322.0,1322.0
Mars 1322,Le roi autorise la construction de l'église et de l'hôpital Saint-Jacques-aux-Pèlerins.,1322.0,1322.0
22 juillet 1322,"Mort de Louis 1er, comte de Nevers. Il est enterré chez les Frères Mineurs [Cordeliers]",1322.0,1322.0
Août 1322,Le pape Jean XXII approuve la fondation de l'hôpital Saint-Jacques-aux-Pèlerins.,1322.0,1322.0
2 janvier 1323,"Fondation du collège Saint-Martin, dit collège du Plessis, rue Saint-Jacques.",1323.0,1323.0
8 mai 1323,"Jourdain de L'Isle, noble gascon, est pendu pour viol, meurtre et autres méfaits.",1323.0,1323.0
Été 1323,Paris est touché par une grave épidémie.,1323.0,1323.0
7 décembre 1323,Jean du Prieuré et Jean de Persan sont mis au bûcher pour hérésie et sorcellerie.,1323.0,1323.0
Début 1324,Refondation des collèges de Laon et de Presles.,1324.0,1324.0
20 avril 1325,Fondation du collège de Tréguier.,1325.0,1325.0
18 février 1325,"Étienne de Bouret réhabilite certaines thèses de saint Thomas, condamnées en 1277.",1325.0,1325.0
Été 1325,Sécheresse et grandes chaleurs.,1325.0,1325.0
24 novembre 1325,"Mort d'Étienne de Bouret, évêque de Paris.",1325.0,1325.0
Décembre 1325,La Seine gèle profondément.,1325.0,1325.0
Fin décembre 1325,"Le Grand-Pont et le Petit-Pont, tous deux en bois, sont rompus.",1325.0,1325.0
Début janvier 1326,On fait des dons aux pauvres pour qu'ils prient pour Charles de Valois très malade.,1326.0,1326.0
14 janvier 1326,Hugues de Besançon devient évêque de Paris.,1326.0,1326.0
28 février 1326,Fondation du collège des Écossais.,1326.0,1326.0
21 mars 1326,Louis de Clermont clame à Notre-Dame qu'il reporte son départ pour la Terre Sainte.,1326.0,1326.0
Printemps 1326,Inhumation de Charles de Valois au monastère des Chartreux.,1326.0,1326.0
18 mai 1326,"Pose de la première pierre de l'église du Saint-Sépulcre, rue Saint-Denis.",1326.0,1326.0
24 mai 1326,Pose de la première pierre de la nouvelle chapelle de la Sorbonne.,1326.0,1326.0
1327,"Fondation, par Guy de Laon, du collège de Laon, rue du Clos-Bruneau.",1327.0,1327.0
27 avril 1327,"Alphonse d'Espagne, arrière-petit-fils de saint Louis, est inhumé aux Jacobins.",1327.0,1327.0
1er février 1328,Le roi Charles IV le Bel meurt au château de Vincennes.,1328.0,1328.0
Février 1328,Avènement et régence de Philippe VI de Valois.,1328.0,1328.0
25 avril 1328,"Pierre Remy, trésorier des finances, est pendu à Montfaucon pour malversations.",1328.0,1328.0
13 juin 1328,Entrée solennelle de Philippe VI par la porte Saint-Denis.,1328.0,1328.0
28 janvier 1329,"Fondation du collège de Marmoutier, rue Saint-Jacques.",1329.0,1329.0
27 octobre 1329,La comtesse Mahaut d'Artois meurt en son hôtel parisien.,1329.0,1329.0
27 janvier 1330,Jeanne de Bourgogne est inhumée au couvent des Cordeliers.,1330.0,1330.0
Août 1330,Grandes joutes bourgeoises à la Couture Saint-Martin.,1330.0,1330.0
Novembre 1330,Le roi fait saisir les biens des Lombards qui pratiquent l'usure à Paris.,1330.0,1330.0
Novembre 1330,L'hôtel de Nesle est vendu au roi pour financer la fondation du collège de Bourgogne.,1330.0,1330.0
19 novembre 1330,Jean de Milon est nommé prévôt de Paris.,1330.0,1330.0
14 août 1332,"Fondation du collège de Marmoutier, par division du collège du Plessis.",1332.0,1332.0
5 février 1332,"Fondation du collège de Bourgogne, rue des Cordeliers.",1332.0,1332.0
Mai 1332,Le roi donne à son fils la maison que Robert d'Artois avait rue St-Germain-des-Prés.,1332.0,1332.0
Mai 1332,"Le roi donne l'hôtel de Nesle à sa femme, Jeanne de Bourgogne.",1332.0,1332.0
29 juillet 1332,"Mort de Hugues de Besançon, évêque de Paris.",1332.0,1332.0
18 août 1332,Guillaume V de Chanac devient évêque de Paris.,1332.0,1332.0
7 mars 1333,"Fondation du collège de Tours, rue de la Harpe.",1333.0,1333.0
Mai 1333,"Fondation du collège des Lombards, rue des Carmes.",1333.0,1333.0
Août 1334,Le roi autorise les religieux des Blancs-Manteaux à percer une porte dans sa muraille.,1334.0,1334.0
Juin 1336,"Fondation du collège de Lisieux, rue Saint-Étienne-des-Grès.",1336.0,1336.0
21 juillet 1336,L'ancien prévôt de Paris Hugues de Crusy est pendu pour crime de lèse-majesté.,1336.0,1336.0
Été 1338,Début de la construction de l'église du collège des Bernardins.,1338.0,1338.0
21 juin1339,Fondation du collège de l'Ave Maria par Jean de Hubant.,,
25 juin 1339,"Exécution de Béthin de Saint-Denis, coupable de forfaiture.",1339.0,1339.0
8 octobre 1340,Le collège de Laon a été transféré rue de la Montagne-Sainte-Geneviève.,1340.0,1340.0
29 décembre 1340,Les thèses de Guillaume d'Ockham sont condamnées par l'Université.,1340.0,1340.0
1er août 1341,"Fondation du collège du cardinal Bertrand, dit collège d'Autun, rue St-André-des-Arts",1341.0,1341.0
23 février 1342,Vaugirard est érigé en paroisse [Notre-Dame].,1342.0,1342.0
27 novembre 1342,Foulques de Chanac succède à Guillaume de Chanac comme évêque de Paris.,1342.0,1342.0
Avril 1343,Le pape Clément VI approuve l'érection de la chapelle de St-Julien-des-Ménestriers.,1343.0,1343.0
2 août 1343,Olivier de Clisson est décapité aux Halles.,1343.0,1343.0
29 novembre 1343,Dix chevaliers bretons du parti de Jean de Montfort sont décapités.,1343.0,1343.0
30 novembre 1343,Le duc Eudes de Bourgogne arrive à Paris.,1343.0,1343.0
3 décembre 1343,"Enterrement aux Jacobins du cour de Philippe d'Évreux, roi de Navarre.",1343.0,1343.0
11 mars 1345,Ordonnance royale pour la réforme du Parlement qui devient permanent.,1345.0,1345.0
19 juin 1345,Le patronage des paroisses de Saint-André et de Saint-Côme revient à l'Université.,1345.0,1345.0
Juillet 1345,Le prévôt des marchands Jean Pizdoue est anobli par le roi Philippe le Long.,1345.0,1345.0
6 octobre 1345,Les Parisiens accordent au roi une aide de 28 000 livres pour financer ses troupes.,1345.0,1345.0
2 février 1346,Ouverture des États de langue d'oïl.,1346.0,1346.0
Mars 1346,Nouvelle aide financière des Parisiens pour l'armée du roi.,1346.0,1346.0
Juillet 1346,"L'inquiétude grandit à l'approche des troupes d'Édouard III, le roi d'Angleterre.",1346.0,1346.0
12 août 1346,Le roi ordonne la destruction de maisons bâties trop près des remparts.,1346.0,1346.0
15 août 1346,L'annonce du départ du roi dans la nuit entraîne un début de panique.,1346.0,1346.0
Fin août 1346,L'annonce de la défaite de Crécy provoque la colère des Parisiens.,1346.0,1346.0
20 février 1347,Expulsion des Lombards pratiquant l'usure à Paris.,1347.0,1347.0
24 juillet 1347,Consécration de la nouvelle chapelle du collège de Sorbonne.,1347.0,1347.0
25 octobre 1347,"Arrestation et emprisonnement de Pierre des Essarts, maître des Comptes.",1347.0,1347.0
14 novembre 1347,Ouverture des États qui décideront d'une aide financière au roi.,1347.0,1347.0
24 décembre 1347,Les États accordent au roi des subsides sous certaines conditions.,1347.0,1347.0
1348,"Fondation du collège des Trois-évêques [de Cambrai], rue de l'Hôpital.",1348.0,1348.0
Début 1348,Pierre des Essarts est libéré de prison contre une amende de 50 000 livres.,1348.0,1348.0
22 février 1348,Le prévôt fait crier à Paris la nouvelle ordonnance du roi contre les blasphémateurs.,1348.0,1348.0
23 juillet 1348,"Adam de Hourdain, conseiller du roi, est pendu au gibet, condamné pour corruption.",1348.0,1348.0
Fin août 1348,La peste commence à faire des victimes dans Paris.,1348.0,1348.0
7 février 1348,Le prévôt impose aux Parisiens de transporter leurs ordures à la voirie.,1348.0,1348.0
Mai 1349,"Au plus fort de l'épidémie de peste, le Conseil royal décide de quitter Paris.",1349.0,1349.0
25 juillet 1349,"Foulques de Chanac, évêque de Paris, meurt de la peste.",1349.0,1349.0
29 août 1349,"Mort de Jean Justice, conseiller du roi. Ses biens iront à la fondation d'un collège.",1349.0,1349.0
Septembre 1349,Mort de Pierre des Essarts. Son gendre Étienne Marcel refuse sa succession.,1349.0,1349.0
12 septembre 1349,Audoin Aubert est évêque de Paris.,1349.0,1349.0
Janvier 1350,On constate enfin une décrue de l'épidémie de peste.,1350.0,1350.0
23 août 1350,On apprend la mort du roi Philippe VI à Nogent-le-Roi.,1350.0,1350.0
17 octobre 1350,Le roi Jean II fait son entrée solennelle dans la capitale et se rend à Notre-Dame.,1350.0,1350.0
16 novembre 1350,"Exécution du connétable Raoul de Brienne, comte d'Eu, à l'hôtel de Nesle.",1350.0,1350.0
25 décembre 1350,Pierre de la Forêt succède à Audoin Aubert comme évêque de Paris.,1350.0,1350.0
Janvier 1351,Grande ordonnance royale sur les prix et les salaires.,1351.0,1351.0
8 février 1351,Ouverture des États au Parlement pour traiter des problèmes financiers du royaume.,1351.0,1351.0
16 février 1352,Jean de Meulan succède à Pierre de la Forêt comme évêque de Paris.,1352.0,1352.0
17 février 1352,Le roi réhabilite Pierre des Essarts et fait rembourser l'amende perçue en 1347.,1352.0,1352.0
Juillet 1353,"Fondation du collège de Mignon, rue des Petits-Champs.",1353.0,1353.0
15 septembre 1354,Le roi Jean quitte Paris.,1354.0,1354.0
26 septembre 1355,Ordonnance royale qui reporte à Pâques prochain le paiement des gages des officiers.,1355.0,1355.0
9 octobre 1355,Convocation des États généraux pour le 30 novembre.,1355.0,1355.0
2 décembre 1355,Étienne Marcel s'impose dès la première séance des États.,1355.0,1355.0
Janvier 1356,Les États généraux accordent un impôt de 8 deniers par livre sur toutes les ventes. ,1356.0,1356.0
1er mars 1356,Nouvelle session des États pour constater que l'impôt rentre mal.,1356.0,1356.0
5 avril 1356,"Charles de Navarre, arrêté à Rouen par le roi, est enfermé au Louvre puis au Châtelet.",1356.0,1356.0
8 mai 1356,Ouverture d'une nouvelle session des États.,1356.0,1356.0
26 mai 1356,Clôture des États. Une ordonnance modifie la perception de l'impôt.,1356.0,1356.0
Fin septembre 1356,La nouvelle du désastre de Poitiers provoque une émotion considérable à Paris.,1356.0,1356.0
29 septembre 1356,"De retour à Paris, le dauphin Charles convoque les trois États.",1356.0,1356.0
4 octobre 1356,Nicole Oresme devient grand maître du collège de Navarre.,1356.0,1356.0
15 octobre 1356,Étienne Marcel et la municipalité vont faire construire un mur pour protéger Paris.,1356.0,1356.0
17 octobre 1356,"Nouvelle session des États. Robert le Coq, évêque de Laon, mène les débats.",1356.0,1356.0
31 octobre 1356,Une délégation présente - en vain - au dauphin les exigences de l'assemblée.,1356.0,1356.0
2 novembre 1356,Le dauphin dissout les États et quitte Paris.,1356.0,1356.0
3 novembre 1356,"Aux Cordeliers, violent discours de Robert le Coq contre les conseillers du roi.",1356.0,1356.0
10 décembre 1356,Les Parisiens sont exaspérés par la nouvelle ordonnance dévaluant la monnaie.,1356.0,1356.0
12 décembre 1356,Etienne Marcel demande au comte d'Anjou que cette décision soit annulée.,1356.0,1356.0
14 janvier 1357,"Le dauphin Charles, de retour de Metz, fait son entrée à Paris.",1357.0,1357.0
19 janvier 1357,Discussions serrées entre le dauphin et Étienne Marcel au sujet des monnaies.,1357.0,1357.0
20 janvier 1357,Charles renonce à la nouvelle monnaie et éloigne ses conseillers les plus décriés.,1357.0,1357.0
5 février 1357,Nouvelle session des États généraux aux Cordeliers. Les Parisiens s'imposent.,1357.0,1357.0
3 mars 1357,Les États accordent au dauphin une aide financière dont elle contrôlera la répartition.,1357.0,1357.0
5 avril 1357,"Le roi Jean, prisonnier, informe les Parisiens qu'un traité avec les Anglais est conclu.",1357.0,1357.0
30 avril 1357,"Malgré l'interdiction du roi Jean, une nouvelle session des États est ouverte.",1357.0,1357.0
7 juillet 1357,Etienne Marcel achète la Maison aux Piliers pour y fixer la prévôté des marchands.,1357.0,1357.0
15 août 1357,Le dauphin fait dire à Étienne Marcel et aux échevins qu'il veut gouverner seul.,1357.0,1357.0
15 octobre 1357,Le dauphin se voit obligé de convoquer à nouveau les États généraux.,1357.0,1357.0
7 novembre 1357,Ouverture d'une session des États aux Cordeliers.,1357.0,1357.0
17 novembre 1357,"Fondation du collège de Boncourt, rue Sainte-Geneviève.",1357.0,1357.0
29 novembre 1357,Le roi de Navarre libéré est conduit à l'abbaye Saint-Germain-des-Prés.,1357.0,1357.0
30 novembre 1357,Charles le Mauvais s'adresse aux Parisiens au Pré-aux-Clerc où il est acclamé.,1357.0,1357.0
3 décembre 1357,Une délégation parisienne demande au dauphin de se réconcilier avec le Mauvais.,1357.0,1357.0
13 décembre 1357,Charles le Mauvais quitte Paris.,1357.0,1357.0
11 janvier 1358,"Aux Halles, le dauphin s'adresse aux Parisiens pour les rassurer.",1358.0,1358.0
12 janvier 1358,"A l'hôpital Saint-Jean, Étienne Marcel et le dauphin tentent chacun de convaincre.",1358.0,1358.0
13 janvier 1358,Le dauphin convoque au palais les Corps des métiers pour s'assurer de leur fidélité.,1358.0,1358.0
14 janvier 1358,Ouverture d'une nouvelle session des États aux Cordeliers.,1358.0,1358.0
23 janvier 1358,Les États se terminent par un accord sur le produit des impôts.,1358.0,1358.0
24 janvier 1358,"A la suite d'une querelle d'argent, le changeur Perrin Marc tue le trésorier Jean Baillet.",1358.0,1358.0
24-25 janvier 1358,"De nuit, le prévôt force les portes de Saint-Merry pour en extraire Perrin Marc.",1358.0,1358.0
25 janvier 1358,Perrin Marc est mutilé puis pendu à Montfaucon sur ordre du dauphin.,1358.0,1358.0
26 janvier 1358,L'évêque de Paris obtient la restitution du corps du supplicié.,1358.0,1358.0
