evenement,startyear,endyear,commentaire
"11 décembre 1852. Inauguration du « cirque Napoléon », aujourd'hui Cirque d'Hiver.",1852.00,1852.00,
"1er juin 1853. Lancement du magasin Au bon marché d'Aristide Boucicaut, plus ancien grand magasin de France.",1853.00,1853.00,
21 juin : Décision de créer la rue des Halles pour établir un axe entre les futures Pavillons de Victor Baltard et la place du Chatelet.,1854.00,1854.00,
"À la suite de la grande crue du mois de mai ou la Seine s'élève au pont de la Tournelle à la cote de 4,90 mètres, elle s'élève encore le 4 juin, à la cote de 4,10 mètres puis le 8 juin à la cote de 3,70 mètres.",1856.00,1856.00,
30 novembre : inauguration de la Basilique Sainte-Clotilde.,1857.00,1857.00,
"19 mai 1858. Vote de la loi sur les grands travaux de Paris. Ils sont placés sous l'autorité du préfet de la Seine, Georges Eugène Haussmann.",1858.00,1858.00,
"16 juin. Loi repoussant les limites de la capitale jusqu'aux fortifications de Thiers. La ville absorbe onze communes en totalité (Belleville, Grenelle, Vaugirard, La Villette) ou en partie (Auteuil, Passy, Batignolles-Monceau, Bercy, La Chapelle, Charonne, Montmartre), ainsi que treize portions de communes. La commune est désormais réorganisée en vingt arrondissements.",1859.00,1859.00,
6 octobre 1860. Inauguration du Jardin d'acclimatation.,1860.00,1860.00,
Inauguration du Parc Monceau.,1861.00,1861.00,
19 avril : inauguration du théâtre du Châtelet.,1862.00,1862.00,
Inauguration de l'hippodrome de Vincennes.,1863.00,1863.00,
11 mai 1865. Création du grand magasin Au Printemps par Jules Jaluzot.,1865.00,1865.00,
"Le 29 septembre, la Seine s'élève au pont de la Tournelle à la cote de 5,21 mètres.",1866.00,1866.00,
1er octobre 1867. Inauguration du marché aux bestiaux de la Villette.,1867.00,1867.00,
5 juillet 1868. Premier numéro du quotidien parisien Le Gaulois.,1868.00,1868.00,
2 mai : ouverture des Folies Bergère.,1869.00,1869.00,
29 et 30 novembre : les éléphants Castor et Pollux de la ménagerie du Jardin des plantes sont abattus pour être consommés.,1870.00,1870.00,
"21 au 28 mai : Semaine sanglante, écrasement de la Commune (des milliers de morts). Incendies du palais des Tuileries, du palais d'Orsay et de l'hôtel de ville (destruction des registres paroissiaux et d'état civil). Bataille de la Butte-aux-Cailles les 24 au 25 mai. Exécution sommaire de 147 fédérés au cimetière du Père-Lachaise le 28 mai.",1871.00,1871.00,
"août : installation de la première Fontaine Wallace, boulevard de la Villette. Une centaine d'autres, créées et financées par Sir Richard Wallace, seront implantées dans toute la ville.",1872.00,1872.00,
"1er novembre : ouverture de l'hippodrome d'Auteuil, construit à l'orée du Bois de Boulogne.",1873.00,1873.00,
inauguration de la Grande Synagogue de Paris rue de la Victoire.,1875.00,1875.00,
15 octobre : premier numéro du quotidien parisien Le Petit Parisien (disparu en 1944).,1876.00,1876.00,
30 mai 1878. Premiers essais d'éclairage électrique de l'avenue de l'Opéra.,1878.00,1878.00,
"19 décembre 1879. Hiver rigoureux en Europe et -−23,9 °C à Paris-Montsouris d'après les données de Météo-France.",1879.00,1879.00,
Éclairage électrique des grands boulevards.,1880.00,1880.00,"ouverture du Musée Carnavalet, consacré-l'histoire de Paris"
14 juillet : premier numéro de L'Auvergnat de Paris.,1882.00,1882.00,
1889 : parution du premier annuaire des abonnés au téléphone du département de la Seine.,1889.00,1889.00,
ouverture du Casino de Paris.,1891.00,1891.00,
"8 novembre : nouvel attentat anarchiste au commissariat de police du 9e arrondissement, rue des Bons-Enfants (5 morts).",1892.00,1892.00,
11 avril : inauguration de l'Olympia.,1893.00,1893.00,
16 juin et 23 juin : tenue à la Sorbonne du « Congrès pour le rétablissement des Jeux olympiques ».,1894.00,1894.00,
"28 décembre : première séance publique de cinéma par les frères Lumière, au salon indien du Grand Café.",1895.00,1895.00,
Disparition des lichens du jardin du Luxembourg en raison de la pollution.,1896.00,1896.00,
18 juillet : inauguration du Parc des Princes.,1897.00,1897.00,
inauguration du Jardin des Serres d'Auteuil.,1898.00,1898.00,
"Fondation par et pour des ouvriers de la première université populaire de France, rue du Faubourg-Saint-Antoine.",1899.00,1899.00,
19 juillet : inauguration de la première ligne de métro entre Vincennes et la porte Maillot.,1900.00,1900.00,
10 août : accident dans le métro à la station Couronnes (84 morts).,1901.00,1901.00,inauguration de la gare de Lyon-de son restaurant Le Train Bleu
19 octobre : ouverture de la ligne 3 du métro entre Villiers et Père Lachaise.,1904.00,1904.00,
29 mai : inauguration du Musée des Arts Décoratifs dans l'aile Marsan du Louvre.,1905.00,1905.00,
2 juin : ouverture de la ligne 5 du métro entre la gare d'Orléans et la place d'Italie.,1906.00,1906.00,
"3 octobre : inauguration de la Salle Gaveau, dédiée à la musique classique.",1907.00,1907.00,
21 avril : ouverture de la ligne 4 du métro entre la porte de Clignancourt et Châtelet.,1908.00,1908.00,
"13 septembre : mise en place de la première rue à sens unique, rue de Mogador.",1909.00,1909.00,
"décembre : ouverture de l'Hôtel Lutetia, premier palace situé Rive Gauche.",1910.00,1910.00,
"21 décembre : première « attaque de banque » utilisant la voiture automobile, perpétrée par la « bande à Bonnot ».",1911.00,1911.00,
4 février : saut mortel de l'inventeur Franz Reichelt depuis le premier étage de la tour Eiffel.,1912.00,1912.00,
"24 décembre : premier sapin de Noël géant, avenue des Champs-Élysées.",1913.00,1913.00,
"6 septembre : réquisition des taxis parisiens, les fameux « taxis de la Marne », par l'armée pour assurer le transport de troupes vers le front.",1914.00,1914.00,
10 septembre : premier numéro de l'hebdomadaire satirique parisien Le Canard enchaîné.,1915.00,1915.00,
29 au 31 janvier : série de bombardements aériens allemands depuis des zeppelins (26 morts).,1916.00,1916.00,
"octobre à décembre : pic de l'épidémie de grippe espagnole à Paris, des centaines de morts.",1918.00,1918.00,
"16 octobre : consécration de la basilique du Sacré-Cœur de Montmartre, dont les travaux durent encore jusqu'en 1923.",1919.00,1919.00,
La population atteint un maximum historique de 2 900 000 habitants.,1920.00,1920.00,
Premier concert diffusé par l'émetteur de la Tour Eiffel,1921.00,1921.00,
Premier salon des arts ménagers au Champ-de-Mars en octobre,1923.00,1923.00,
"4 mai au 27 juillet : Paris accueille les jeux de la VIIIe olympiade, ouverts par le président Gaston Doumergue.",1924.00,1924.00,
28 avril au 25 octobre : exposition internationale des Arts décoratifs et industriels modernes.,1925.00,1925.00,
"Frédégonde, veuve de Chilpéric, s'empare de Paris.",597.00,597.00,
"16 juillet : inauguration de la grande mosquée de Paris, première mosquée de France métropolitaine.",1926.00,1926.00,
"18 octobre : inauguration de la salle Pleyel, dédiée à la musique symphonique.",1927.00,1927.00,
Inauguration de l'Institut d'Art et d'Archéologie.,1928.00,1928.00,
6 mai au 15 novembre : exposition coloniale internationale à la porte Dorée (palais des Colonies) et dans le bois de Vincennes.,1930.00,1930.00,ouverture de la Maison de la Mutualité
"22 juillet : fin du trafic voyageurs sur la ligne de Petite Ceinture, désormais réservée au transport de marchandises.",1932.00,1932.00,ouverture du cinéma Le Grand Rex
décembre : ouverture du Musée Nissim-de-Camondo.,1936.00,1936.00,
"25 mai au 25 novembre : Exposition universelle sur le thème des « Arts et des Techniques appliqués à la Vie moderne ». À cette occasion, ouverture du Palais de Chaillot au Trocadéro et du Palais de la découverte au Grand Palais.",1937.00,1937.00,
20 juin : ouverture au Trocadéro du Musée de l'Homme.,1938.00,1938.00,
"11 novembre : manifestation étudiante contre l'occupant sur les Champs-Élysées, réprimée.",,,
14 décembre : 100 otages fusillés par les Allemands.,1941.00,1941.00,
"16 et 17 juillet : grande rafle de plus de 13 000 juifs parisiens, détenus au vélodrome d'Hiver puis internés au camp de Drancy.",1942.00,1942.00,
15 septembre : bombardement allié sur Paris et sa banlieue (291 morts).,1943.00,1943.00,
18 décembre : Premier numéro du quotidien parisien Le Monde.,1944.00,1944.00,
"8 mai : célébration de la capitulation de l'Allemagne. La Marseillaise entonnée par la cantatrice Lily Pons au balcon de l'Opéra Garnier, devant 250 000 personnes.",,,
20 juin : ouverture du cabaret du Lido sur les Champs Elysées.,1946.00,1946.00,
12 février : premier défilé de haute couture (Christian Dior).,1947.00,1947.00,
10 décembre: l'Assemblée Générale des Nations Unies adopte la Déclaration Universelle des Droits de l'Homme au Palais de Chaillot.,1948.00,1948.00,
1er janvier : création de la Régie autonome des transports parisiens.,1949.00,1949.00,
6 juillet : célébration du bimillénaire de Paris.,1951.00,1951.00,
28 mai : répression d'une manifestation communiste contre la visite du général américain Ridgway (2 morts).,1952.00,1952.00,
14 juillet : répression d'une manifestation organisée par le MTLD en faveur de l'indépendance de l'Algérie (7 morts).,1953.00,1953.00,
30 janvier : Jumelage de Paris avec Rome,1956.00,1956.00,
"inauguration du palais de l'OTAN, devenu depuis 1968 le siège de l'Université Paris-Dauphine.",1957.00,1957.00,
"3 novembre : inauguration de la maison de l'Unesco, siège de l'Organisation des Nations unies pour l'éducation, la science et la culture, derrière l'École militaire.",1958.00,1958.00,
construction du Palais des Sports.,1959.00,1959.00,
6 au 10 juillet : plusieurs matchs du championnat d'Europe de football au Parc des Princes.,1960.00,1960.00,
17 octobre : répression d'une manifestation nocturne organisée par le FLN en faveur de l'indépendance de l'Algérie (entre 30 et 98 morts).,1961.00,1961.00,
8 février : répression d'une manifestation interdite contre l'OAS et la guerre d'Algérie (9 morts).,1962.00,1962.00,
14 décembre : inauguration de la maison de la Radio.,,,
6 avril : les voitures parisiennes seront désormais immatriculées en « 75 ».,1965.00,1965.00,
29 novembre : inauguration de l'autoroute du Nord.,1967.00,1967.00,
1er octobre : billet unique dans les bus et les métros parisiens.,1968.00,1968.00,
"14 décembre : mise en service du premier tronçon du RER, de Nation à Boissy-Saint-Léger.",,,
fondation du club de football du Paris-Saint-Germain.,1970.00,1970.00,
15 septembre : mise en service du premier horodateur à Paris.,1971.00,1971.00,
28 novembre : dernières exécutions à Paris : Roger Bontems et Claude Buffet sont guillotinés à la prison de la Santé.,1972.00,1972.00,
Première édition de la Paris Fashion Week ou Semaine de la Mode.,1973.00,1973.00,
"15 septembre : attentat à la grenade dans un drugstore du boulevard Saint-Germain, attribué au terroriste vénézuélien Carlos (2 morts).",1974.00,1974.00,
20 juillet : première arrivée du Tour de France sur les Champs-Élysées.,1975.00,1975.00,
"24 décembre : assassinat en pleine rue du député Jean de Broglie, revendiqué par le groupe Charles-Martel.",1976.00,1976.00,
8 décembre : inauguration de la gare de Châtelet - Les Halles. Mises en service officielles de la ligne A et de la ligne B du RER.,1977.00,1977.00,
31 juillet : prise d'otages à l'ambassade d'Irak par des militants de l'OLP (2 morts).,1978.00,1978.00,
"2 novembre : mort du criminel Jacques Mesrine, abattu par les policiers de la Brigade de recherche et d'intervention du commissaire Broussard à la porte de Clignancourt.",1979.00,1979.00,
3 octobre : attentat à la bombe contre la synagogue de la rue Copernic (4 morts).,1980.00,1980.00,
24 septembre : attaque du consulat de Turquie par un commando de l'Asala (1 mort).,1981.00,1981.00,
9 août : attaque antisémite dans un restaurant de la rue des Rosiers (6 morts).,1982.00,1982.00,
"6 et 13 mars : les élections municipales sont remportées par les listes conduites par Jacques Chirac, réélu maire le 21 mars.",1983.00,1983.00,
"12 au 27 juin : plusieurs matchs du championnat d'Europe de football au Parc des Princes, dont la finale victorieuse de l'équipe de France.",1984.00,1984.00,
23 septembre : ouverture du Musée Picasso dans l'Hôtel Salé.,1985.00,1985.00,
"9 décembre : inauguration du musée d'Orsay, réaménagement de l'ancienne gare d'Orsay, consacré aux arts de la deuxième moitié du XIXe siècle",1986.00,1986.00,
30 novembre : inauguration de l'Institut du monde arabe.,1987.00,1987.00,
22 octobre : incendie criminel du cinéma Saint-Michel par des intégristes catholiques.,1988.00,1988.00,
24 septembre : inauguration du premier tronçon de la ligne à grande vitesse entre Paris et Tours.,1989.00,1989.00,
10 décembre : inscription des Berges de la Seine au Patrimoine mondial de l'UNESCO.,1991.00,1991.00,
Ouverture du parc André-Citroën.,1992.00,1992.00,
23 mai : inauguration du premier tronçon de la ligne à grande vitesse entre Paris et Lille.,1993.00,1993.00,
14 novembre : début des liaisons Eurostar entre Paris et Londres.,1994.00,1994.00,
17 octobre : nouvel attentat terroriste entre les stations du musée d'Orsay et Saint-Michel de la ligne C du RER.,1995.00,1995.00,
"17 décembre : inauguration et ouverture au public de la Très Grande Bibliothèque, rebaptisée bibliothèque François-Mitterrand, sur le site de Tolbiac.",1996.00,1996.00,
"31 août : mort de Diana Spencer, princesse de Galles, à la suite d'un accident de voiture dans le tunnel du pont de l'Alma.",1997.00,1997.00,
"15 octobre : ouverture de la ligne 14 du métro, dite « Meteor », entre Madeleine et Bibliothèque François-Mitterrand, complètement automatique.",1998.00,1998.00,
27 décembre : une violente tempête balaye la France. Vent à 169 km/h (record) à Paris. Plus de 220 km/h au sommet de la tour Eiffel.,1999.00,1999.00,
21 décembre : inauguration de l'hôpital européen Georges-Pompidou.,2000.00,2000.00,
13 juillet : échec de la candidature parisienne à l'organisation des jeux olympiques d'été de 2008.,2001.00,2001.00,
"5 octobre : première édition de la « Nuit Blanche », qui met à l’honneur l’art contemporain tout au long de la nuit.",2002.00,2002.00,
"novembre : forum social européen, organisé par les altermondialistes.",2003.00,2003.00,
"6 juillet : échec de la candidature parisienne à l'organisation des jeux olympiques d'été de 2012, face à Londres.",2005.00,2005.00,
"16 décembre : inauguration de la ligne 3 du tramway, dit « tramway des Maréchaux », entre le pont du Garigliano et la porte d'Ivry. Retour du tramway après 70 ans d'absence.",2006.00,2006.00,
ouverture de la première tranche du parc Clichy Batignolles.,2007.00,2007.00,
11 octobre : ouverture du centre culturel CentQuatre dans l'ancienne halle des Pompes funèbres municipales.,2008.00,2008.00,
"5 décembre : lancement d'Autolib', service public d'autopartage de voitures électriques en libre-service.",2011.00,2011.00,
15 décembre : ouverture de la ligne 3b du tramway entre la porte de Vincennes et la porte de la Chapelle.,2012.00,2012.00,
15 décembre: ouverture du Musée de l'Histoire de l'Immigration dans le Palais de la Porte Dorée (ancien palais des Colonies).,,,"datetime=""2013"" data-sort-value=""2013"" class=""date-lien"">2013Nuit du 9 au 10 janvier triple assassinat de militantes kurdes dans le Xe arrondissement"
"30 novembre au 12 décembre : conférence  de Paris sur le climat, dite COP21, au parc des expositions du Bourget. Adoption du premier accord universel sur le climat.",2015.00,2015.00,
19 octobre : inauguration de la cathédrale orthodoxe russe de la Sainte-Trinité et du centre spirituel et culturel associé.,2016.00,2016.00,
13 septembre : Paris désignée par le CIO ville organisatrice des Jeux Olympiques de 2024.,2017.00,2017.00,
octobre : ouverture du musée Yves-Saint-Laurent.,,,"datetime=""2018"" data-sort-value=""2018"" class=""date-lien"">2018janvier crue de la Seine qui atteint 5,84 mètres le 29 janvier"
14 juin : ouverture au public de la Cité de l'Economie et de la Monnaie dans l'ancien hôtel Gaillard.,2019.00,2019.00,
"Alfred Fierro, Histoire et dictionnaire de Paris, p. 537 à 658. ",,,"id=""Chabrol-1833"">Préfecture du département de la Seine-comte Chabrol de Volvic (dir), Recherches statistiques sur la ville de Paris-le département de la Seine année 1821, Paris, Imprimerie royale, 1833, 2e éd (lire en ligne), « Tableau n°7 » , [compte rendu en ligne]"
Panneau Histoire de Paris,,,de Paris
Sainte Geneviève rassure les Parisiens face à l'approche d'Attila.,451.00,451.00,
Sainte Geneviève fait bâtir une basilique sur le tombeau de saint Denis.,460.00,460.00,
"Entrée de Childéric 1er, roi des Francs saliens, à Paris.",463.00,463.00,
"Son fils, Clovis, roi des  Francs, s'empare de Paris sans combat.",486.00,486.00,
Mort de sainte Geneviève qui sera inhumée sur la colline méridionale.,503.00,503.00,
Clovis et son épouse font bâtir la basilique des Saints-Apôtres [Sainte-Geneviève].,505.00,510.00,
Clovis fait de Lutèce le siège de son royaume.,508.00,508.00,
Heraclius est évêque de Paris.,511.00,511.00,
"Clovis meurt et Childebert, son fils, devient roi de Paris.",511.00,511.00,
Childebert fait élever la cathédrale Saint-Étienne dans l'Ile de la Cité.,558.00,558.00,
Deux des trois fils de Clodomir sont tués par Clotaire.,526.00,526.00,
Amelius est évêque de Paris.,533.00,533.00,
Mort de saint Séverin ; il est inhumé au sud-ouest de Paris.,540.00,540.00,
Childebert revient d'Espagne avec deux reliques de saint Vincent.,543.00,543.00,
Childebert entreprend la construction d'un monastère.,544.00,544.00,
Saffaracus est évêque de Paris.,545.00,545.00,
Le corps de Clotilde est rapporté à Paris et enterré aux cotés de Clovis.,545.00,545.00,
"2e Concile de Paris, organisé pour juger l'évêque de Paris Saffaracus.",552.00,553.00,
Eusebius remplace l'évêque Saffaracus déposé au Concile de Paris.,553.00,553.00,
Mort d'Eusebius évêque de Paris. Childebert nomme Germain pour lui succéder.,555.00,555.00,
Mort de l'ermite [saint] Séverin.,555.00,555.00,
Germain dédicace l'église Saint-Vincent et Sainte-Croix [Saint-Germain-des-Prés].,558.00,558.00,
"Childebert, qui vient de mourir, est enseveli dans l'église Saint-Vincent.",558.00,558.00,
"Chilpéric, fils de Clotaire, s'empare de Paris puis en est chassé par ses frères.",561.00,561.00,
"Charibert, frère de Chilpéric, succède à Childebert à Paris.",561.00,561.00,
Chilpéric revient à Paris.,576.00,576.00,
"Mort de [saint] Germain, évêque de Paris ; il est enseveli dans l'église Saint-Vincent.",576.00,576.00,
Ragnemod est évêque de Paris.,576.00,576.00,
"Concile de Paris pour juger Prétextat, évêque de Rouen.",577.00,577.00,
L'évêque Grégoire de Tours est de passage à Paris.,580.00,580.00,
Chilpéric ordonne à tous les Juifs de se faire baptiser. Assassinat du Juif Priscus.,582.00,582.00,
"Leudaste, ancien comte de Tours, est pris à Paris et mis à mort par Frédégonde.",583.00,583.00,
Crue de la Seine. Naufrage d'un navire près de l'église Saint-Laurent.,584.00,584.00,
"Chilpéric assassiné à Chelles, est inhumé à Saint-Vincent.",584.00,584.00,
Incendie dans l'Ile de la Cité ; l'oratoire Saint-Martin est miraculeusement épargné.,585.00,585.00,
"Partage de Paris entre Gontran, frère de Chilpéric, et son neveu Childebert II.",587.00,587.00,
"Thierry, fils de Childebert II, reprend la ville.",605.00,605.00,
Clotaire II s'empare à son tour de Paris.,613.00,613.00,
Ceran [ou Céraune] est évêque de Paris.,614.00,614.00,
Fin du concile des évêques en l'église Saint-Pierre-Saint-Paul [Sainte-Geneviève].,614.00,614.00,
Léodebert est évêque de Paris.,625.00,625.00,
Mort de Clotaire II ; funérailles à Saint-Vincent-Sainte-Croix. ,629.00,629.00,
"Éloi fonde, dans l'ile de la Cité,  un monastère dédié à saint Martial de Limoges.",633.00,633.00,
Un édit du roi Dagobert chasse de Paris les Juifs qui refusent de se convertir.,636.00,636.00,
Paris apprend la mort de Dagobert.,639.00,639.00,
Audebert [ou Aubert] est évêque de Paris.,644.00,644.00,
Landry est évêque de Paris.,652.00,652.00,
[Saint] Landry rassemble les malades dans un Hôtel-Dieu.,652.00,652.00,
Chrotbert est évêque de Paris.,656.00,656.00,
La peste touche la Cité et emporte près de 150 religieuses du monastère Saint-Éloi.,666.00,666.00,
"[Sainte] Aure, abbesse de Saint-Éloi, est inhumée au cimetière Saint-Paul.",666.00,666.00,
"6e Concile de Paris, sous le règne de Clovis II.",653.00,653.00,
Agilbert est évêque de Paris.,673.00,673.00,
Childeric II est enterré au monastère Saint-Vincent.,673.00,673.00,
"Ebroïn, maire du Palais de Neustrie, a été assassiné.",680.00,680.00,
Sigefroi est évêque de Paris.,690.00,690.00,
Turnoald est évêque de Paris.,693.00,693.00,
Saint Merry est inhumé dans la chapelle Saint-Pierre-des-Bois [Saint-Merry].,700.00,700.00,
Chilpéric II fait un séjour à Paris.,717.00,717.00,
[Saint] Hugues de Rouen est évêque de Paris.,724.00,724.00,
Mort de l'évêque Hugues qui sera inhumé dans la cathédrale Saint-Étienne.,730.00,730.00,
Le corps de saint Germain est transféré de l'atrium au chour de l'église Saint-Vincent.,756.00,756.00,
Déofroi est évêque de Paris.,757.00,757.00,
"Mort de Pépin le Bref. Son fils, Carloman reçoit Paris dans son héritage.",768.00,768.00,
Mort de Carloman. Son frère Charles [Charlemagne] reçoit Paris dans son héritage.,771.00,771.00,
Erchanrade est évêque de Paris.,775.00,775.00,
Charlemagne et sa fille Théodrade sont de passage à Paris.,800.00,800.00,
Charlemagne ordonne que soient punis les manquements à la corvée du guet.,813.00,813.00,
Inchald est évêque de Paris.,814.00,814.00,
Mort de Charlemagne. Son fils Louis [le Pieux] lui succède.,814.00,814.00,
Louis le Pieux visite les églises parisiennes.,814.00,814.00,
6e Concile de Paris pour examiner la question du culte des images.,826.00,826.00,
7e Concile de Paris. Approbation du partage des biens entre l'évêque et le chapitre.,829.00,829.00,
Erchanrade le Jeune est évêque de Paris.,832.00,832.00,
Débordement de la Seine.,834.00,834.00,
Louis le Pieux donne le comté de Paris à son fils Charles le Chauve.,838.00,838.00,
Mort de Louis le Pieux.,840.00,840.00,
Débordement de la Seine.,841.00,841.00,
Conflit à Paris entre Charles le Chauve et son frère Lothaire.,841.00,841.00,
Le traité de Verdun donne le Parisis à Charles le Chauve.,843.00,843.00,
Les Normands pillent Paris.,845.00,845.00,
Charles le Chauve obtient leur départ pour 7 000 livres.,845.00,845.00,
8e Concile de Paris.,846.00,846.00,
9e Concile de Paris.,851.00,851.00,
Retour des Normands qui incendient Paris.,856.00,856.00,
Charles le Chauve fait construire un nouveau pont au nord du Palais.,856.00,857.00,
Plusieurs basiliques et églises de Paris sont incendiées par les Normands.,857.00,857.00,
L'église St-Germain-des-Prés est incendiée par les Normands et le Grand Pont détruit.,861.00,861.00,
L'édit de Pitres confirme Paris comme atelier monétaire.,864.00,864.00,
Charles le Chauve restitue l'île Notre-Dame à l'évêque de Paris.,867.00,867.00,
Retour des Normands qui pillent le monastère Saint-Germain-des-Prés.,869.00,869.00,
Ingelvin [ou Engelvin] est évêque de Paris.,871.00,871.00,
Charles le Chauve donne l'abbaye Saint-Éloi à l'Église de Paris.,872.00,872.00,
Mort de Charles le Chauve ; son fils Louis [le Bègue] lui succède.,877.00,877.00,
Fortification du nouveau Grand-Pont et du Petit-Pont avec adjonction de tours.,885.00,885.00,
Mort de Louis le Bègue ; son fils Louis [III] lui succède.,879.00,879.00,
Mort de Louis III ; son frère Carloman lui succède.,882.00,882.00,
Eudes devient comte de Paris.,882.00,883.00,
"Mort d'Engelvin, évêque de Paris.",883.00,883.00,
Gozlin est élu évêque de Paris.,883.00,883.00,
Les reliques de saint Merry sont mises à l'abri dans l'église Saint-Merry.,884.00,884.00,
Les Normands arrivent devant Paris ; les Parisiens se replient derrière leurs murs.,885.00,885.00,
L'évêque Gozlin refuse de laisser passer les Normands.,885.00,885.00,
Les Normands maintiennent le siège de Paris. Les attaques sont nombreuses.,885.00,886.00,
La crue fait tomber le Petit-Pont et les défenseurs de la tour sud sont massacrés.,886.00,886.00,
"Le comte Henri, duc d'Austrasie vient à  l'aide de Paris.",886.00,886.00,
Les Normands s'installent autour de Saint-Germain-des-Prés.,886.00,886.00,
"Mort de l'évêque Gozlin, touché par l'épidémie qui sévit dans la Cité.",886.00,886.00,
Eudes va chercher du secours et laisse le commandement à Ebles.,886.00,886.00,
Anschéric succède à Gozlin comme évêque de Paris.,886.00,886.00,
Le comte Henri est tué par les Normands. Nouvel assaut général des envahisseurs.,886.00,886.00,
L'empereur Charles III le Gros négocie avec les Normands leur départ vers Sens.,886.00,886.00,
Les Normands reviennent à Paris. Ils reçoivent 700 livres pour leur départ.,887.00,887.00,
"Eudes, défenseur victorieux de Paris,  est élu roi de France à Compiègne.",888.00,888.00,
Les Normands menacent à nouveau Paris. Eudes paye pour leur départ.,889.00,889.00,
Les reliques de saint Germain reviennent à Saint-Germain-des-Prés.,890.00,890.00,
"Mort d'Ebles, abbé de Saint-Germain-des-Prés.",892.00,892.00,
Les reliques de saint Leufroy sont mises à l'abri à Paris.,898.00,898.00,
Le roi Charles III transfère au chapitre Notre-Dame la propriété du Grand Pont.,909.00,909.00,
"Mort d'Achery [Anskerick], évêque de Paris.",909.00,909.00,
Le traité de Saint-Clair-sur-Epte limite les incursions des Normands.,911.00,911.00,
"Thiou, nommé évêque de Paris, fait clore de murs le cloître de la cathédrale.",911.00,911.00,
Fulrade est évêque de Paris.,922.00,922.00,
Les Parisiens entreprennent une expédition punitive contre les Normands.,925.00,925.00,
Adelhelme est évêque de Paris.,927.00,927.00,
Hugues le Grand et le roi Louis IV d'Outremer viennent à Paris.,936.00,936.00,
Gauthier est évêque de Paris.,937.00,937.00,
"Hugues, duc de France, feudataire de Paris, tient une grande assemblée judiciaire.",940.00,940.00,
Le roi Louis IV réside à Paris à l'invitation d'Hugues le Grand. Il y tombe malade.,943.00,943.00,
Paris est ravagé par le « mal des ardents » [ergotisme].,944.00,944.00,
Un ouragan détruit l'église de Montmartre et plusieurs autres édifices.,944.00,944.00,
Conflit entre Hugues et le futur empereur Othon qui tente de s'approcher de Paris.,946.00,946.00,
"Hugues le Grand reçoit fastueusement Lothaire, fils du défunt roi Louis IV.",955.00,955.00,
Mort de Hugues le Grand ; Hugues Capet lui succède comme duc de France.,956.00,956.00,
Arrivée des reliques de saint Magloire qui sont mises à l'abri dans la Cité.,965.00,965.00,
Fondation de l'abbaye Saint-Barthélemy et Saint-Magloire.,975.00,975.00,
Hugues Capet réunit la Cour pour prendre acte d'un don du chevalier Alleaume.,975.00,975.00,
L'empereur Othon II et son armée menacent Paris sans oser l'attaquer.,978.00,978.00,
Rainald [ou Renaud] est évêque de Paris.,979.00,979.00,
"Mort de Galon, abbé de Saint-Germain-des-Prés.",979.00,979.00,
Eliziard [ou Lisiard] est évêque de Paris.,987.00,987.00,
Hugues Capet est élu roi de France à Noyon.,987.00,987.00,
Hugues Capet réside à Paris plusieurs mois d'affilée.,989.00,989.00,
L'abbé Morard fait reconstruire le clocher-porche de l'église St-Germain-des-Prés.,990.00,990.00,
Renaud de Vendôme succède à Lisiard comme évêque de Paris.,991.00,991.00,
Les moines de Marmoutier prennent possession de l'église Notre-Dame-des-Champs.,994.00,994.00,
Hugues Capet vient à Saint-Denis pour un synode relatif à la dîme ecclésiastique.,995.00,995.00,
"Mort de Hugues Capet ; son fils Robert [le Pieux], déjà roi, lui succède.",996.00,996.00,
Le roi Robert le Pieux est présent à Paris.,997.00,997.00,
Robert le Pieux fait reconstruire la palais de la Cité.,997.00,997.00,
Le roi Robert le Pieux séjourne à Paris.,999.00,999.00,
Hucbald de Liège vient pour trois mois enseigner à Sainte-Geneviève.,1006.00,1006.00,
Mort de l'abbé Morard qui avait entrepris la restauration de Saint-Germain-des-Prés.,1014.00,1014.00,
Ascelin [ou Azelin] succède à Renaud comme évêque de Paris.,1017.00,1017.00,
"Francon, doyen du chapitre Notre-Dame remplace Ascelin comme évêque de Paris.",1019.00,1019.00,
Fin de la reconstruction de l'église de l'abbaye Saint-Germain-des-Prés.,1020.00,1020.00,
Robert le Pieux dote l'église Sainte-Geneviève d'un chapitre.,1020.00,1020.00,
"Mort de Ingon, doyen des chanoines de Sainte-Geneviève.",1021.00,1021.00,
"Mort de Ingon, abbé de Saint-Germain-des-Prés.",1025.00,1025.00,
Guillaume de Volpiano succède à l'abbé Ingon à Saint-Germain-des-Prés.,1025.00,1025.00,
Robert le Pieux séjourne à Paris.,1028.00,1028.00,
Adraud est maintenant abbé de Saint-Germain-des-Prés.,1030.00,1030.00,
Imbert de Vergy est élu évêque de Paris.,1030.00,1030.00,
Mort de Robert le Pieux ; Henri Ier lui succède.,1031.00,1031.00,
Henri 1er prend l'abbaye Sainte-Geneviève sous sa protection.,1035.00,1035.00,
Début de la reconstruction de l'église de Saint-Martin-des-Champs.,1039.00,1039.00,
"Mort de l'archidiacre Albert, illustre maître des écoles du cloître Notre-Dame.",1040.00,1040.00,
Synode réuni pour juger les doctrines hétérodoxes de Bérenger de Tours.,1050.00,1050.00,
Le roi Henri 1er donne à l'évêque quatre églises de la rive gauche.,1045.00,1045.00,
